Aug 25 2023 12:30PM,Finolex Cables Ltd,FINCABLES,0-3000000,25-50,50-75,Jul 31 2023 12:30PM,TrianglePatternWithHA
Aug 25 2023 12:30PM,PG Electroplast Ltd,PGEL,0-3000000,25-50,50-75,Aug 10 2023 12:30PM,TrianglePatternWithHA
Aug 25 2023 12:30PM,Sansera Engineering Ltd,SANSERA,0-3000000,0-25,50-75,Aug 17 2023 09:30AM,TrianglePatternWithHA
Sep 08 2023 12:30PM,Godrej Properties Ltd,GODREJPROP,0-3000000,25-50,50-75,Sep 05 2023 12:30PM,TrianglePatternWithHA
Oct 12 2023 12:30PM,V I P Industries Ltd,VIPIND,0-3000000,0-25,50-75,Oct 10 2023 08:30AM,TrianglePatternWithHAPP
Oct 13 2023 12:30PM,Godfrey Phillips India Ltd,GODFRYPHLP,0-3000000,0-25,50-75,Oct 03 2023 08:30AM,TrianglePatternWithHA
Oct 13 2023 12:30PM,BF Investment Ltd,BFINVEST,0-3000000,0-25,50-75,Oct 11 2023 08:30AM,TrianglePatternWithHA
Oct 13 2023 12:30PM,Alembic Pharmaceuticals Ltd,APLLTD,0-3000000,0-25,50-75,Oct 04 2023 08:30AM,TrianglePatternWithHA
Oct 16 2023 12:30PM,Jindal Poly Films Ltd,JINDALPOLY,0-3000000,0-25,50-75,Sep 27 2023 08:30AM,TrianglePatternWithHAPP
Oct 16 2023 12:30PM,Rajratan Global Wire Ltd,RAJRATAN,0-3000000,0-25,50-75,Oct 04 2023 08:30AM,TrianglePatternWithHA
Oct 16 2023 12:30PM,Choice International Ltd,CHOICEIN,0-3000000,25-50,50-75,Oct 06 2023 12:30PM,TrianglePatternWithHA
Oct 16 2023 12:30PM,Metro Brands Ltd,METROBRAND,0-3000000,0-25,50-75,Oct 11 2023 12:30PM,TrianglePatternWithHA
Oct 16 2023 12:30PM,Technocraft Industries (India) Ltd,TIIL,0-3000000,0-25,50-75,Oct 12 2023 08:30AM,TrianglePatternWithHA
Oct 16 2023 12:30PM,Ramky Infrastructure Ltd,RAMKY,0-3000000,0-25,50-75,Oct 11 2023 09:30AM,TrianglePatternWithHA
Oct 16 2023 12:30PM,Hariom Pipe Industries Ltd,HARIOMPIPE,0-3000000,25-50,50-75,Oct 12 2023 12:30PM,TrianglePatternWithHA
Oct 17 2023 12:30PM,Dilip Buildcon Ltd,DBL,0-3000000,25-50,50-75,Oct 06 2023 12:30PM,TrianglePatternWithHA
Oct 17 2023 12:30PM,Aptus Value Housing Finance India Ltd,APTUS,0-3000000,25-50,50-75,Oct 11 2023 12:30PM,TrianglePatternWithHA
Oct 17 2023 12:30PM,Rategain Travel Technologies Ltd,RATEGAIN,0-3000000,0-25,50-75,Oct 12 2023 08:30AM,TrianglePatternWithHA
