BRITANNIA,PP,9,2
CARBORUNIV,PP,8,4
COROMANDEL,PP,9,3
EICHERMOT,PP,7,1
ELECON,PP,4,1
ABB,PP,9,2
AGI,PP,7,1
LINDEINDIA,PP,4,1
ITC,PP,4,0
CUMMINSIND,PP,6,4
TRENT,PP,7,1
SURYAROSNI,PP,5,2
SCHAEFFLER,PP,3,1
SHREECEM,PP,8,2
SRF,PP,7,1
SIEMENS,PP,7,3
SOMANYCERA,PP,4,1
SUPREMEIND,PP,9,3
TATAMOTORS,PP,7,2
VOLTAS,PP,8,5
APOLLOHOSP,PP,11,4
MPHASIS,PP,7,3
SYMPHONY,PP,6,4
BAJFINANCE,PP,9,1
MIRZAINT,PP,8,1
KEI,PP,6,2
SANGHVIMOV,PP,5,3
POONAWALLA,PP,8,4
SHILPAMED,PP,10,0
OIL,PP,9,5
SUPRAJIT,PP,15,4
TVSMOTOR,PP,6,3
HAL,PP,7,1
APLAPOLLO,PP,12,5
GOKEX,PP,10,3
CARERATING,PP,6,2
CYIENT,PP,9,6
NEWGEN,PP,7,1
VAIBHAVGBL,PP,6,2
PNBHOUSING,PP,8,1
TECHM,PP,10,3
PERSISTENT,PP,5,0
TORNTPOWER,PP,5,1
ALKEM,PP,12,2
GLENMARK,PP,11,5
ZYDUSLIFE,PP,7,5
DATAMATICS,PP,10,0
AIAENG,PP,7,2
TRITURBINE,PP,5,2
JBMA,PP,12,2
VBL,PP,7,4
JSL,PP,3,1
COFORGE,PP,7,4
CHALET,PP,11,5
POLYCAB,PP,4,2
ACE,PP,7,4
MAHINDCIE,PP,4,1
BAJAJFINSV,PP,9,3
BFINVEST,PP,8,3
KRISHANA,PP,7,2
GRAVITA,PP,6,2
TEJASNET,PP,8,2
GUJGASLTD,PP,10,1
INTELLECT,PP,10,3
ASTERDM,PP,8,3
INDIAMART,PP,8,5
HAPPSTMNDS,PP,7,0
ORIENTELEC,PP,10,4
ROUTE,PP,7,0
KPITTECH,PP,12,3
FLUOROCHEM,PP,7,1
LIKHITHA,PP,4,0
