AMRUTANJAN,PDCB,8,0
BAJAJELEC,PDCB,9,4
BIRLACORPN,PDCB,10,6
BRITANNIA,PDCB,11,2
CEATLTD,PDCB,12,6
EXIDEIND,PDCB,20,7
ELECON,PDCB,15,6
EPL,PDCB,16,2
FINCABLES,PDCB,14,6
GESHIP,PDCB,19,7
ABB,PDCB,17,5
KIRLOSBROS,PDCB,13,4
CUMMINSIND,PDCB,21,6
TRENT,PDCB,17,6
MFSL,PDCB,15,5
PEL,PDCB,16,3
SURYAROSNI,PDCB,21,5
SCHAEFFLER,PDCB,12,4
SOMANYCERA,PDCB,11,3
SUNDRMFAST,PDCB,10,2
SUPREMEIND,PDCB,16,5
TATACONSUM,PDCB,12,2
TATAMOTORS,PDCB,18,3
TIRUMALCHM,PDCB,11,2
CHOLAHLDNG,PDCB,14,5
JUBLPHARMA,PDCB,11,4
ALKYLAMINE,PDCB,6,3
APOLLOHOSP,PDCB,11,4
PATANJALI,PDCB,12,4
VTL,PDCB,9,3
SHANTIGEAR,PDCB,9,1
KIRLFER,PDCB,19,6
SPLPETRO,PDCB,10,2
TORNTPHARM,PDCB,13,3
MAYURUNIQ,PDCB,12,4
VISHNU,PDCB,11,4
TTKPRESTIG,PDCB,8,1
CAPLIPOINT,PDCB,13,2
AUROPHARMA,PDCB,16,6
KEI,PDCB,15,5
NATCOPHARM,PDCB,11,3
JSWSTEEL,PDCB,14,5
SANGHVIMOV,PDCB,20,10
SHILPAMED,PDCB,4,0
POWERGRID,PDCB,19,5
COCHINSHIP,PDCB,12,8
INDIANB,PDCB,15,7
APOLLOPIPE,PDCB,13,5
HAL,PDCB,17,5
PFC,PDCB,21,13
APLAPOLLO,PDCB,10,3
ISEC,PDCB,11,4
CGCL,PDCB,11,3
GOKEX,PDCB,12,3
CARERATING,PDCB,14,4
PRESTIGE,PDCB,13,5
CYIENT,PDCB,17,7
POLYMED,PDCB,7,2
GLAND,PDCB,6,1
BIOCON,PDCB,9,1
GODREJPROP,PDCB,16,5
CENTURYPLY,PDCB,11,4
PNBHOUSING,PDCB,15,4
STAR,PDCB,16,3
TORNTPOWER,PDCB,14,5
NAUKRI,PDCB,15,3
SHOPERSTOP,PDCB,12,5
CDSL,PDCB,9,2
GLENMARK,PDCB,23,13
ZYDUSLIFE,PDCB,16,7
ZENTEC,PDCB,20,4
BSE,PDCB,11,2
HDFCAMC,PDCB,14,4
HDFCLIFE,PDCB,15,7
ICICIPRULI,PDCB,17,7
GULPOLY,PDCB,9,1
ICICIGI,PDCB,11,3
MAXHEALTH,PDCB,16,4
IIFL,PDCB,16,6
SUMICHEM,PDCB,10,1
FORTIS,PDCB,12,2
JSL,PDCB,20,7
MUTHOOTFIN,PDCB,17,6
RKFORGE,PDCB,17,2
REPCOHOME,PDCB,14,3
SFL,PDCB,2,1
KKCL,PDCB,7,3
ASTRAL,PDCB,19,6
MOTILALOFS,PDCB,10,2
JKIL,PDCB,12,5
VARROC,PDCB,12,4
INDIGO,PDCB,17,4
NAZARA,PDCB,6,1
SPANDANA,PDCB,11,4
SHARDACROP,PDCB,11,5
TEJASNET,PDCB,12,3
DIXON,PDCB,12,5
DBL,PDCB,10,3
SIS,PDCB,6,1
APLLTD,PDCB,10,3
DMART,PDCB,11,3
TIINDIA,PDCB,12,1
THYROCARE,PDCB,10,1
WONDERLA,PDCB,23,3
QUESS,PDCB,8,0
NH,PDCB,7,4
LAURUSLABS,PDCB,8,2
INTELLECT,PDCB,20,4
METROPOLIS,PDCB,16,3
HAPPSTMNDS,PDCB,7,1
HOMEFIRST,PDCB,7,2
ROUTE,PDCB,10,3
SIRCA,PDCB,14,3
ROSSARI,PDCB,8,2
